model,scenario,region,variable,unit,year,value
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2050,0.856648677
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2055,0.810863038
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2060,0.697578737
MESSAGEix-Pakistan 1,LTS_nexus,B2|AFGHAN_NORTH,Water Extraction|Groundwater,MCM/yr,2070,0.801077403
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2025,90.40314431
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2030,101.85989104929199
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2035,107.4492704146542
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2040,114.54795203947769
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2045,118.766433
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2050,116.4045688385762
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2055,112.10184291703621
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2060,103.2767694
MESSAGEix-Pakistan 1,LTS_nexus,B7|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2070,100.47382904837531
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2025,91.39421183581047
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2030,101.72480218540336
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2035,137.3652375950282
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2040,153.0660896196787
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2045,165.6262984838395
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2050,169.5483268230843
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2055,152.6140372
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2060,129.2309154950394
MESSAGEix-Pakistan 1,LTS_nexus,B8|INDIA_WEST,Water Extraction|Groundwater,MCM/yr,2070,112.5475912541151
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2025,107.67020223860175
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2030,123.69895465174187
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2035,154.2783964264963
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2040,184.01549278007627
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2045,192.7620585510939
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2050,200.74859891834632
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2055,394.47691670420045
MESSAGEix-Pakistan 1,LTS_nexus,B9|INDIA_EAST,Water Extraction|Groundwater,MCM/yr,2060,202.2311183
